Remove,Insert
propel,propal => 1 | perp => 1 | repale => 1
conquer,cockle => 1 | count at => 1 | co => 1
she,he => 2 | see => 1
are the,other => 1 | a => 2
eat,ate => 1 | it => 1 | eats => 1
dreamed,dream => 1 | drean => 1 | dreend => 1
source,short => 1 | sort => 1 | sword => 1
adapt,adult => 1 | adopt => 1 | adapted => 1
fund,fun => 3
thousands,thousand => 3
would,will => 1 | will the => 1 | was => 1
youngsters,youngster with => 1 | younger => 1 | youngster => 1
since,sense of => 1 | sensual => 1 | sense => 1
alien,island => 1 | elient => 1
struggling,structling => 1 | track goes link => 1
injuries,injury => 1 | injures => 1
once,want => 1 | one => 1
laid,lay => 2
vowed,vow => 1 | volwed => 1
courage,encourage => 1 | currents => 1
spoke,spoken => 2
own,owns => 2
double amputee,dmut => 2
daniel tammet,deep english com daniel denmark => 1 | danial danial => 1
an alien,not england => 1 | not island => 1
we spoke,that we thought => 1 | wr speak => 1
the leaves,pleas => 1 | believe => 1
according,recording => 2
world,word => 2
which,would => 1 | with => 1
months old,mensal => 1 | month so => 1
fisherman,fishing  => 1 | fishman => 1
mosquito lagoon,most skiing look good => 1 | m => 1
save,say => 2
circumstances and adopt,stir and the dogs => 1 | and a double => 1
spired,spire => 1 | spider => 1
remarkable,room makeable => 1 | markable => 1
seeing,she is => 1 | see => 1
adjusted,ajust => 1 | adjust => 1
motivated,most of great => 1 | motiavated => 1
strike,stripe => 1 | strive => 1
image,images => 1 | emit => 1
injuries were extensive,anger war intensive => 1 | injury was intensive => 1
crabie,crapie => 2
swim,sim => 1 | swing => 1
perseverance,her severe => 1 | perse savant => 1
shining,shinning => 2
six meant,6 mens => 1 | 6 men => 1
through,trough => 1 | though => 1
braedon he vowed then and,braden evil been in => 1 | raven went in => 1
ther,ar => 2
ears,years => 1 | year => 1
children,students => 2
tribulations,tribulation => 2
-es,-esy => 2
due,do => 2
89,79 => 1 | 98 => 1
approach,spoke => 2
ask,dask => 1 | as => 1
canaveral,canavoro => 1 | c => 1
aquarium,quarries => 1 | quarrium => 1
of,her => 1 | in => 1
he,i => 1 | fe => 1
like,likes => 1 | liked => 1
000,thousand dollars => 1 | 000dl => 1
images,image => 1 | imagines => 1
as,us => 2
tails,tail => 1 | hales => 1
braedon monthony,b => 1 | briant manthaly => 1
shortly,sortly => 1 | shorty => 1
cut,out => 2
raised,rates => 2
count the,counter => 1 | counted => 1
clearwater,c => 2
circumstances,circumstance => 1 | circumcises => 1
florida,f => 2
became,becam => 1 | becme => 1
country,coungty => 1 | county => 1
not,a => 1 | in => 1
in,and => 2
dolphin,dophin => 2
confessed,confit => 1
texture,texter => 1
logists,logic => 1
synesthes,sinet  => 1
sights,size => 1
tangled in,tangle and => 1
on counting,accountant => 1
had a,hear the => 1
its own neurologists call this condition synesthesia,the sound => 1
meant snow,means nose => 1
meant sadness,means afternoon => 1
shape emerg,second  => 1
dare,tear => 1
what a,whether the => 1
sounded ,sound dislike => 1
master,mastery of => 1
such as,structure => 1
such as kingdom shoemake,subject can them sure  => 1
creating,reacting => 1
silly,survey => 1
sense,sun => 1
tools to share those,truth the shadow => 1
when,win => 1
entangled in,untangle and => 1
dolphins caught in,often cause and => 1
lines die,life dial => 1
yet despite exhaustive efforts,yes the spite at salty offers => 1
tails are the,tail is other => 1
direction,ration => 1
my destination,mass deep intimation => 1
what,with => 1
did,this => 1
dapt,dap => 1
visitors,fishes go => 1
made a film,madder feel => 1
millions who,museums to => 1
film,fail => 1
determined to meet his hero,the meet he growth => 1
fund his,funniest => 1
an emotional,the most national => 1
vowed then and,then => 1
own prostheses,salt plastic sea => 1
youngsters the courage,youngster but her act => 1
conquer all,can => 1
london,england => 1
saw imagesind,showed energyind => 1
leaves,lims => 1
lists of,list the => 1
languages of,language in => 1
daniel can now,danial now can => 1
duet,dealt => 1
off,of => 1
their wounds,the => 1
on,of => 1
mother,father => 1
his ears,hear easier => 1
and attempt,turn => 1
while,when => 1
began,beginning => 1
can now,canal => 1
makes the most of,make hope => 1
months,mouths => 1
winters tail,win => 1
trap,tap => 1
survived,survive => 1
in a nutshell,and not sure => 1
and his,dollar => 1
braedon was,braden what is => 1
seeing ,since 3in => 1
thousands of youngsters,5 000 dollar => 1
only two,10 => 1
born,borned => 1
figure,firgure => 1
misfit in a,in the => 1
call this,called it => 1
other children,the student => 1
idea,ideas => 1
football,fooball => 1
jacket,jackets => 1
crabied,crapied => 1
frustrated daniel hatched,daniel => 1
sails,sail => 1
an english,a => 1
its own,itself => 1
number,numbers => 1
over ten,10 => 1
just,jusk => 1
that,it => 1
many,any => 1
without,with => 1
strength of spirit can,transfer experience => 1
has since written a,had => 1
year old,years => 1
in mosquito lagoon near cape canaveral,near => 1
dolphin they propel the sea,dolphins => 1
music,musics => 1
was an alien,english was a land => 1
dreamed in a,drink in => 1
the faintest,think this => 1
while the,well while => 1
round,around => 1
quick,quite => 1
numbers are,number is => 1
which gave,would give => 1
yearn,yearsn => 1
dealt a,down of => 1
life to the fullest,like foolish => 1
cycles,circles => 1
dolphins caught,often cost => 1
their wounds against the odds,the winds a gengeous => 1
dean once,dimwan => 1
sails to,sail => 1
is,was => 1
the aquarium,quarium => 1
lemonade,lemolade => 1
to life,light => 1
youngsters t ,young => 1
speaking,speak => 1
were a puzzle the,was a a => 1
mathematical,mathematic => 1
its own neurologists call,this => 1
at,as => 1
would stand,extend => 1
the english,with => 1
stop,stones => 1
left,let => 1
itsr,itr => 1
influences are the vowel and image rich,influents or in => 1
northern europe,nother => 1
mastery,master => 1
sense of,sensub => 1
those,though => 1
legs duet,legt => 1
cycles swims,swear => 1
difference is,different he => 1
marine mammal,memory => 1
supply to winters,of blind to when to => 1
caught in crab trap lines,cost => 1
could,put => 1
that is,bad => 1
fish,fit => 1
are inspired by her plight,on her => 1
made a,make => 1
meet,miss => 1
raised 4 000,raise four thousand dollars => 1
march 28th 2016,ma 28 => 1
motivated braedon he vowed,most of va he => 1
prostheses he told,he thought => 1
sters the courage,studenr => 1
how strength of spirit can,help => 1
an autisticve,not ve => 1
misfit,misfix => 1
receiving,recieving => 1
color,colour => 1
shape emerges,shapes been lar => 1
children at,students at the => 1
intimidated,in emitated => 1
frustrated,fa => 1
non,no => 1
shoe,shoes  => 1
frenchl,francel => 1
tribulation,trabulation => 1
trabulations,trabulation => 1
influences,influence => 1
northern,northen => 1
fluent,influence => 1
which gave him the tools,with => 1
fullest,foolish => 1
strength and perseverance,and => 1
mammal,memo => 1
mosquito lagoon near cape canaveral,most girl near => 1
house,how => 1
a nutshell,an => 1
winter did,will to  => 1
stances,stands => 1
quarium in,quariam and => 1
bye,of hye => 1
a paragon,the  => 1
perseverance hollywood,persic ha => 1
little,litte => 1
determined to,the => 1
hero,herp => 1
sold,so => 1
between,beween => 1
braedon was an emoti,briant was not a  => 1
daniel daniel,d d => 1
braedon monthony from new york,bm from ny => 1
mosquito lagoon near cape canaveral florida,m near f => 1
jimmy dean,j => 1
tale braedon,tail b => 1
infection,inflection => 1
all,on => 1
daniel felt thought and dreamed in a,denial in the => 1
each number,denial => 1
trees,street => 1
shimmering to daniel daniel,by denial denial => 1
entangled in a crab trap line,in the => 1
stranded in mosquito lagoon near cape canaveral,strange near in => 1
they propel the,of => 1
tale braedon was,tail is => 1
kingdom,kingdon => 1
and image rich,an => 1
stranded,stranged => 1
singer,single => 1
master the,mastery => 1
gobble cupboard and cabbage,garbel carbet garbage => 1
daniel is,daniels => 1
learn,learning => 1
used his,uses to => 1
a viral infection,violent faction => 1
the ,almost => 1
can conquer,cangcer => 1
raedon,radon => 1
sters,studs => 1
he grew,hebrew => 1
were a,word => 1
mind,mine => 1
change,chain => 1
a third,1 3 => 1
boy,biy => 1
differently,diferently => 1
trials and,trail then => 1
transported,transpoted => 1
remarkable dolphin he identified deeply with her,the identified => 1
one seeing,see => 1
if,his => 1
